	mean1	mean2	mean3	sd1	sd2	sd3	country	species	n_mosquito_targets	sample_set	contributor	location	year	month	latitude	longitude	sex_call	aim_species	taxon
AY0065-C	-78.99212	14.620029	-29.921207	-52.908867	-30.970495	-24.653166	Cote d'Ivoire	Anopheles_coluzzii	59	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AN0124-C	-73.85318000000001	-25.076014999999998	-0.50215405	-36.498573	-33.069534000000004	-18.361525	Cameroon	Anopheles_gambiae	61	AG1000G-CM-A	Nora Besansky	Mayos	2009	9.0	4.341	13.558	M	gambiae	gambiae
AG0137-C	-90.79419	-9.667158	-16.685822	-49.32571	-35.82745	-24.770039999999998	Gambia, The	Anopheles_gambiae	62	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	8.0	13.55	-15.9	F	gambiae	gcx1
AN0634-CW	-48.202137	16.069485	-21.761656	-36.814186	-20.62574	-16.870179999999998	Cameroon	Anopheles_coluzzii	58	AG1000G-CM-C	Brad White	Campo	2013	10.0	2.367	9.817	F	coluzzii	coluzzii
AK0106-C	-69.49924	-12.165649	-8.474147	-37.828926	-29.817235999999998	-18.397089	Kenya	Anopheles_gambiae	59	AG1000G-KE	Janet Midega	Kilifi	2012	-1.0	-3.511	39.909	F	gambiae	gcx3
AZ0200-C	-74.16611	-61.249542000000005	24.679966	-35.17176	-43.789833	-21.000265	Malawi	Anopheles_arabiensis	61	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
AA0059-C	-82.97281	-14.549686	-10.993243	-43.723328	-33.751213	-22.008779999999998	Ghana	Anopheles_gambiae	62	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AK0043-C	-76.11011500000001	-71.83859	30.884588	-37.460575	-49.901367	-23.655214	Kenya	Anopheles_arabiensis	61	AG1000G-KE	Janet Midega	Kilifi	2012	-1.0	-3.511	39.909	F	arabiensis	arabiensis
AP0021-C	-83.45248000000001	-45.56002	11.122932	-38.20477	-39.95792	-20.118206	Mayotte	Anopheles_gambiae	58	AG1000G-FR	Igor Sharakhov	Karihani Lake	2011	-1.0	-12.797	45.122	F	gambiae	gambiae
AV0323-C	-82.7758	12.533835	-29.275126	-54.223119999999994	-32.168240000000004	-25.3039	Mali	Anopheles_coluzzii	61	AG1000G-GN-B	Ken Vernick	Takan	2012	10.0	11.47	-8.33	F	coluzzii	coluzzii
BK0041-C	-85.37711999999999	12.027092999999999	-29.493221000000002	-55.509809999999995	-33.403220000000005	-25.79983	Central African Republic	Anopheles_coluzzii	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	coluzzii	coluzzii
AY0024-C	-80.976166	5.765228700000001	-24.062048	-49.736263	-31.562022999999996	-23.84436	Cote d'Ivoire	Anopheles_coluzzii	61	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
BQ0062-C	-115.67608999999999	-50.325245	5.578682	-51.6473	-50.34641	-27.60091	Mozambique	Anopheles_gambiae	62	AG1000G-MZ	Joao Pinto	Furvela	2004	3.0	-23.715999999999998	35.299	F	gambiae	gambiae
AZ0187-C	-77.63463	-66.51144000000001	27.201961999999998	-36.602866999999996	-46.507748	-22.710743	Malawi	Anopheles_arabiensis	60	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
BK0057-C	-78.12863	-28.47196	0.63496596	-37.917995	-34.832634000000006	-19.197094	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AR0086-C	-63.299797	20.60065	-29.723656	-47.3356	-25.610256	-21.623188	Angola	Anopheles_coluzzii	62	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
BK0077-C	-79.65835600000001	-23.623718	-3.3986647000000003	-40.04667	-34.899623999999996	-19.927546	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AK0109-Cx	-91.92143	-19.21252	-10.572264	-46.653003999999996	-36.875557	-24.047491	Kenya	Anopheles_gambiae	55	AG1000G-KE	Janet Midega	Kilifi	2012	-1.0	-3.511	39.909	F	gambiae	gcx3
AR0049-C	-70.63599	23.277245999999998	-33.92958	-52.545914	-28.19407	-23.897741	Angola	Anopheles_coluzzii	62	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
AK0063-C	-81.55296	-8.927586	-14.099606	-45.37175	-33.69206	-21.76308	Kenya	Anopheles_gambiae	60	AG1000G-KE	Janet Midega	Kilifi	2012	-1.0	-3.511	39.909	F	gambiae	gcx3
AC0070-C	-84.276344	-80.4406	34.703545	-40.5923	-55.146618000000004	-27.285656	Uganda	Anopheles_arabiensis	61	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
AG0052-C	-86.80478000000001	7.000732000000001	-26.599936	-53.216021999999995	-33.341120000000004	-25.701242	Gambia, The	Anopheles_coluzzii	61	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AG0286-C	-89.53494	12.335422	-31.09562	-57.47805	-34.572196999999996	-27.174478999999998	Gambia, The	Anopheles_coluzzii	62	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
BL0363-C	-101.62384	-41.416443	3.1579013	-46.718338	-44.42712	-24.547384	Tanzania	Anopheles_gambiae	62	AG1000G-TZ	David Weetman	Muheza	2013	1.0	-4.94	38.948	F	gambiae	gambiae
BK0061-C	-70.97483000000001	-11.649778999999999	-9.08126	-39.060444	-30.476208000000003	-18.6859	Central African Republic	Anopheles_gambiae	61	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AQ0001-C	-72.22536	-19.087482	-4.4206176	-37.137436	-31.526957	-18.460009	Equatorial Guinea	Anopheles_gambiae	61	AG1000G-GQ	Igor Sharakhov	Bioko	2002	9.0	3.7	8.7	F	gambiae	gambiae
AR0050-Cx	-67.23104000000001	19.725088	-30.678729999999998	-48.80818	-26.775528	-22.397586999999998	Angola	Anopheles_coluzzii	56	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
AY0069-C	-67.46880999999999	10.289519	-22.89976	-45.09771	-27.310678000000003	-20.988062	Cote d'Ivoire	Anopheles_coluzzii	62	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AZ0172-C	-72.942566	-62.35898	25.672325	-34.631896999999995	-44.007626	-21.210082999999997	Malawi	Anopheles_arabiensis	61	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
AN0485-C	-93.10043	8.535095	-29.497808000000003	-57.33342	-35.456759999999996	-27.647232000000002	Cameroon	Anopheles_coluzzii	62	AG1000G-CM-B	Nora Besansky	Wouro Andre	2005	-1.0	8.888	13.503	F	coluzzii	coluzzii
AK0274-C	-87.50057	-42.4513	7.9475546	-39.905632000000004	-40.27554	-20.747356	Kenya	Anopheles_gambiae	62	AG1000G-KE	Janet Midega	Kilifi	2000	-1.0	-3.511	39.909	F	gambiae	gambiae
BL0359-C	-110.56618	-58.941309999999994	13.507326999999998	-47.980292999999996	-50.6143	-26.528225	Tanzania	Anopheles_gambiae	60	AG1000G-TZ	David Weetman	Muheza	2013	1.0	-4.94	38.948	F	gambiae	gambiae
AZ0164-C	-91.37576999999999	-81.09906	33.794456	-42.988487	-55.61099	-28.155062	Malawi	Anopheles_arabiensis	62	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
AA0106-C	-69.28824	-18.373856	-4.031354	-35.806126	-30.659466	-17.742596	Ghana	Anopheles_gambiae	62	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AA0043-C	-68.6517	19.077353	-30.393513000000002	-49.321265999999994	-27.323977000000003	-22.903763	Ghana	Anopheles_coluzzii	61	AG1000G-GH	David Weetman	Takoradi	2012	8.0	4.912	-1.774	F	coluzzii	coluzzii
AG0068-C	-73.018555	13.910523000000001	-27.206024	-50.045456	-29.414348999999998	-22.812437	Gambia, The	Anopheles_coluzzii	62	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AY0090-C	-84.683235	10.124783	-28.090733	-53.697019999999995	-32.67973	-25.57926	Cote d'Ivoire	Anopheles_coluzzii	62	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AK0235-C	-101.70777	-52.8919	11.653083	-45.038517	-46.77541	-24.10574	Kenya	Anopheles_gambiae	62	AG1000G-KE	Janet Midega	Kilifi	2000	-1.0	-3.511	39.909	F	gambiae	gambiae
AV0380-C	-88.37961999999999	-12.317611999999999	-14.196579999999999	-46.971687	-34.9288	-23.830555	Mali	Anopheles_gambiae	61	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	F	gambiae	gambiae
BP0038-C	-58.381508	-7.017798399999999	-8.520891	-33.86822	-26.11293	-15.961098000000002	Democratic Republic of Congo	Anopheles_gambiae	61	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	F	gambiae	gambiae
AN0616-CW	-64.00769	23.027431	-31.784399	-48.806213	-25.690437	-22.181744000000002	Cameroon	Anopheles_coluzzii	59	AG1000G-CM-C	Brad White	Yaounde	2013	10.0	3.88	11.505999999999998	F	coluzzii	coluzzii
AN0492-C	-93.10676600000001	9.702649000000001	-30.289821999999997	-58.20209499999999	-35.667202	-27.731522	Cameroon	Anopheles_coluzzii	62	AG1000G-CM-B	Nora Besansky	Gamba	2005	-1.0	8.097999999999999	13.599	F	coluzzii	coluzzii
AC0270-C	-77.991776	-33.683792	4.3075285	-37.010661999999996	-35.815487	-18.660149	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Kihihi	2012	11.0	-0.7509999999999999	29.701	F	gambiae	gambiae
AS0033-C	-73.4505	-29.747615999999997	2.9331725	-35.455996999999996	-33.733303	-17.743217	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
BP0080-C	-72.6183	-19.879604	-4.015173	-36.74095	-31.368671000000003	-18.487099	Democratic Republic of Congo	Anopheles_gambiae	56	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	F	gambiae	gambiae
BQ0096-C	-107.65007	-40.87107	1.1047677	-49.685066	-46.262028	-26.329407	Mozambique	Anopheles_gambiae	62	AG1000G-MZ	Joao Pinto	Furvela	2004	4.0	-23.715999999999998	35.299	F	gambiae	gambiae
AC0289-C	-97.31566	-34.787	-0.47467822	-45.640713	-41.702763	-24.055067	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Kihihi	2012	11.0	-0.7509999999999999	29.701	F	gambiae	gambiae
BP0079-C	-69.71643	-14.342798000000002	-7.0025434	-36.921640000000004	-29.75633	-18.351543	Democratic Republic of Congo	Anopheles_gambiae	62	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	F	gambiae	gambiae
BL0088-C	-79.34993	-73.134476	31.15281	-38.131546	-50.462032	-24.825142	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	Bilali Kabula	Muleba	2015	3.0	-1.962	31.651	F	arabiensis	arabiensis
AY0068-C	-69.411644	10.831599	-23.974447	-46.31262	-27.813444	-21.584223	Cote d'Ivoire	Anopheles_coluzzii	62	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AG0356-C	-87.30606	3.0294733	-24.088082999999997	-52.00844	-33.84367	-25.125372	Gambia, The	Anopheles_coluzzii	62	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AJ0035-C	-76.573715	-5.077479	-15.287927	-43.88402	-31.314315999999998	-21.19001	Guinea-Bissau	Anopheles_gambiae	62	AG1000G-GW	Joao Pinto	Antula	2010	-1.0	11.890999999999998	-15.582	F	gambiae	gcx1
AS0048-C	-78.29808	-30.533741	2.2358757999999996	-37.604313	-35.310665	-18.93732	Gabon	Anopheles_gambiae	61	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
AC0088-C	-70.74643	-65.40245	28.146884999999997	-34.785790000000006	-45.839233	-21.724937	Uganda	Anopheles_arabiensis	61	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
BK0021-C	-65.318184	21.530928	-31.06192	-49.04835	-26.433027000000003	-22.229214000000002	Central African Republic	Anopheles_coluzzii	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	coluzzii	coluzzii
AA0081-C	-73.01451	-24.892838	-0.49663657	-35.99353	-32.674103	-18.17127	Ghana	Anopheles_gambiae	61	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AG0229-C	-70.372925	-4.503411	-14.044894000000001	-40.36405	-28.85963	-19.762783	Gambia, The	Anopheles_gambiae	61	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	10.0	13.55	-15.9	F	gambiae	gcx1
AR0070-Cx	-61.53536999999999	31.587996999999998	-36.776413	-51.350258000000004	-26.067966000000002	-23.044542	Angola	Anopheles_coluzzii	60	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
BQ0106-C	-91.07869000000001	-30.512934	-1.7246667000000002	-43.566765000000004	-39.196644	-22.692106	Mozambique	Anopheles_gambiae	61	AG1000G-MZ	Joao Pinto	Furvela	2004	4.0	-23.715999999999998	35.299	F	gambiae	gambiae
AJ0023-C	-69.079865	-3.0199404	-14.437516	-40.57392	-28.764909999999997	-19.398129	Guinea-Bissau	Anopheles_gambiae	62	AG1000G-GW	Joao Pinto	Antula	2010	-1.0	11.890999999999998	-15.582	F	gambiae	gcx1
AV0226-C	-93.660706	-32.39501	-1.1686238000000002	-44.404552	-40.300740000000005	-23.128098	Guinea	Anopheles_gambiae	61	AG1000G-GN-B	Ken Vernick	Koundara	2012	10.0	8.48	-9.53	F	gambiae	gambiae
AK0238-C	-109.27687	-31.841839	-6.363758	-52.47874	-44.94189	-27.601422999999997	Kenya	Anopheles_gambiae	62	AG1000G-KE	Janet Midega	Kilifi	2000	-1.0	-3.511	39.909	F	gambiae	gambiae
BK0056-C	-102.92598000000001	-28.803478000000002	-6.859953	-50.074936	-42.43998	-26.028297	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
BL0354-C	-106.527824	-48.179047	6.648387400000001	-47.69232	-47.13431	-25.356012	Tanzania	Anopheles_gambiae	62	AG1000G-TZ	David Weetman	Muheza	2013	1.0	-4.94	38.948	F	gambiae	gambiae
AZ0186-C	-84.58	-77.29956999999999	32.456534999999995	-40.666153	-53.334582999999995	-26.062279999999998	Malawi	Anopheles_arabiensis	62	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
AC0143-C	-99.549835	-42.534195000000004	4.541528700000001	-45.403957	-43.757754999999996	-23.892551	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	gambiae	gambiae
BK0040-C	-90.85126	-25.037539000000002	-5.951968	-44.884037	-37.963786999999996	-23.014822	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AN0488-C	-81.15866	7.9485244999999995	-25.333714	-51.15599	-31.851566	-24.0774	Cameroon	Anopheles_coluzzii	62	AG1000G-CM-B	Nora Besansky	Gouna	2005	-1.0	8.525	13.564	F	coluzzii	coluzzii
AS0029-C	-73.80893	-33.114883	5.067451	-34.91813	-34.367794	-17.623552	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
AK0279-C	-98.994125	-48.225525	8.891273	-44.39908	-44.909434999999995	-23.41345	Kenya	Anopheles_gambiae	62	AG1000G-KE	Janet Midega	Kilifi	2000	-1.0	-3.511	39.909	M	gambiae	gambiae
BQ0075-C	-90.17375	-48.159859999999995	11.360342999999999	-40.398643	-42.10505	-21.623606	Mozambique	Anopheles_gambiae	62	AG1000G-MZ	Joao Pinto	Furvela	2004	2.0	-23.715999999999998	35.299	F	gambiae	gambiae
AJ0107-C	-67.56894	3.9758498999999996	-18.803062	-42.002518	-27.333405	-19.980871	Guinea-Bissau	Anopheles_gambiae	61	AG1000G-GW	Joao Pinto	Antula	2010	-1.0	11.890999999999998	-15.582	F	gambiae	gcx1
BK0017-C	-82.37253	7.463146000000001	-25.340916	-51.807390000000005	-32.40484	-24.244736	Central African Republic	Anopheles_coluzzii	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	coluzzii	coluzzii
AA0058-C	-79.14889000000001	-18.750273	-6.826705499999999	-40.963676	-33.665348	-20.196667	Ghana	Anopheles_gambiae	61	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AV0119-C	-83.676575	-28.831146	-0.7337596	-40.555325	-36.67235	-20.680765	Guinea	Anopheles_gambiae	62	AG1000G-GN-B	Ken Vernick	Koraboh	2012	10.0	9.28	-10.03	F	gambiae	gambiae
AN0590-CW	-63.529877	14.933266	-25.142502	-45.077197999999996	-25.980806	-20.582396	Cameroon	Anopheles_coluzzii	61	AG1000G-CM-C	Brad White	Douala	2013	10.0	4.055	9.721	F	coluzzii	coluzzii
AN0332-C	-90.73321	4.6716256	-26.112312	-54.577780000000004	-34.927162	-26.285252000000003	Cameroon	Anopheles_coluzzii	62	AG1000G-CM-C	Brad White	Tibati	2013	10.0	6.468999999999999	12.629000000000001	F	coluzzii	coluzzii
BL0381-C	-105.34363	-48.29254	7.167406599999999	-47.233191999999995	-46.95975	-24.830524	Tanzania	Anopheles_gambiae	62	AG1000G-TZ	David Weetman	Muheza	2013	1.0	-4.94	38.948	F	gambiae	gambiae
BL0102-C	-95.79875	-34.39849	-0.16881960000000001	-45.403557	-41.73277	-23.267477	Tanzania	Anopheles_gambiae	62	AG1000G-TZ	Bilali Kabula	Muleba	2015	3.0	-1.962	31.651	F	gambiae	gambiae
BP0059-C	-76.49812	-20.660618	-4.6809115	-38.769638	-32.908015999999996	-19.550968	Democratic Republic of Congo	Anopheles_gambiae	62	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	M	gambiae	gambiae
VBS02063-4431STDY6672931	-97.00882	-3.7788432000000003	-22.439726	-54.464264	-37.098164000000004	-27.069908	Mali	Anopheles_coluzzii	62	AG1000G-ML-B	Nora Besansky	Douna	2004	8.0	13.21	-5.9	F	coluzzii	coluzzii
AZ0153-C	-89.62035999999999	-79.223015	32.691673	-42.117309999999996	-54.33576	-27.324501	Malawi	Anopheles_arabiensis	62	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
AA0127-C	-80.707306	13.55176	-29.581096999999996	-53.284935	-31.381884000000003	-25.047107999999998	Ghana	Anopheles_coluzzii	61	AG1000G-GH	David Weetman	Takoradi	2012	8.0	4.912	-1.774	F	coluzzii	coluzzii
AK0214-C	-86.199394	-32.219646000000004	1.1491989	-41.052494	-38.049847	-21.050167000000002	Kenya	Anopheles_gambiae	62	AG1000G-KE	Janet Midega	Kilifi	2000	-1.0	-3.511	39.909	M	gambiae	gambiae
AR0044-C	-63.77446	20.420023	-29.549540000000004	-47.65214	-26.250578000000004	-21.329836	Angola	Anopheles_coluzzii	61	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
AN0125-Cx	-79.06404	-22.84562	-3.8023086000000004	-39.809044	-34.313755	-19.882486	Cameroon	Anopheles_gambiae	62	AG1000G-CM-A	Nora Besansky	Mayos	2009	9.0	4.341	13.558	M	gambiae	gambiae
AZ0267-C	-92.694	-8.66423	-17.707935	-51.135290000000005	-36.702557	-25.176239000000002	Mali	Anopheles_gambiae	62	AG1000G-ML-B	Nora Besansky	Fanzana	2004	8.0	13.2	-6.13	F	gambiae	gambiae
AZ0322-C	-89.03058	-17.295568	-10.815078999999999	-46.483940000000004	-36.639194	-22.953691	Mali	Anopheles_gambiae	61	AG1000G-ML-A	Austin Burt	Kababougou	2014	8.0	12.89	-8.15	F	gambiae	gambiae
AQ0011-C	-65.88138000000001	-29.148476000000002	4.341215	-31.392529999999997	-31.053246	-15.945985999999998	Equatorial Guinea	Anopheles_gambiae	61	AG1000G-GQ	Igor Sharakhov	Bioko	2002	9.0	3.7	8.7	F	gambiae	gambiae
AA0086-C	-72.91702	-16.572267999999998	-6.5122165999999995	-38.03826	-31.250320000000002	-18.846617000000002	Ghana	Anopheles_gambiae	59	AG1000G-GH	David Weetman	Madina	2012	11.0	5.667999999999999	-0.21899999999999997	F	gambiae	gambiae
AZ0226-C	-78.38469	-67.24474000000001	27.488007	-36.766186	-46.74139	-23.084293	Malawi	Anopheles_arabiensis	61	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
BL0298-C	-78.027214	-70.14458	29.731021999999996	-37.379543	-48.799145	-23.796188	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	David Weetman	Tarime	2012	8.0	-1.431	34.199	F	arabiensis	arabiensis
BL0277-C	-73.88141	-70.934555	30.984707	-36.367020000000004	-49.377590000000005	-23.457848000000002	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	David Weetman	Moshi	2012	8.0	-3.4819999999999998	37.308	F	arabiensis	arabiensis
AC0076-C	-85.75766999999999	-79.51947	33.97094	-41.181305	-54.739227	-27.067837	Uganda	Anopheles_arabiensis	61	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
AG0054-C	-89.73308	-4.175175	-19.968115	-50.549084	-34.89066	-25.002098	Gambia, The	Anopheles_coluzzii	61	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AS0059-C	-76.42333	-23.00774	-2.8254377999999996	-38.1429	-33.286471999999996	-19.256845000000002	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
VBS02056-4431STDY6672924	-75.75271	-65.97726	27.300734000000002	-35.85497	-46.027390000000004	-22.494179000000003	Mali	Anopheles_arabiensis	61	AG1000G-ML-B	Nora Besansky	Douna	2004	8.0	13.21	-5.9	F	arabiensis	arabiensis
AK0177-C	-92.853424	-42.557693	6.517601	-42.265984	-41.741554	-22.083873999999998	Kenya	Anopheles_gambiae	62	AG1000G-KE	Janet Midega	Kilifi	2000	-1.0	-3.511	39.909	F	gambiae	gambiae
BP0052-C	-70.71977	-12.849606	-8.382324	-38.020590000000006	-30.075236999999998	-18.655891	Democratic Republic of Congo	Anopheles_gambiae	60	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	M	gambiae	gambiae
AP0007-C	-90.134964	-47.021576	10.239624000000001	-41.13433	-42.545033000000004	-21.43843	Mayotte	Anopheles_gambiae	61	AG1000G-FR	Igor Sharakhov	Mtsamboro Forest Reserve	2011	-1.0	-12.703	45.081	F	gambiae	gambiae
AA0053-C	-70.30303	20.05786	-31.633251	-51.103718	-28.073381	-23.244081	Ghana	Anopheles_coluzzii	61	AG1000G-GH	David Weetman	Twifo Praso	2012	9.0	5.609	-1.5490000000000002	F	coluzzii	coluzzii
AV0391-C	-86.87659000000001	-19.249748	-9.043175	-44.198723	-35.531445	-22.483625	Mali	Anopheles_gambiae	58	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	F	gambiae	gambiae
BQ0087-C	-115.44931000000001	-59.763206000000004	12.984865	-49.88688	-52.05061	-27.535662	Mozambique	Anopheles_gambiae	61	AG1000G-MZ	Joao Pinto	Furvela	2004	3.0	-23.715999999999998	35.299	F	gambiae	gambiae
BQ0068-C	-100.435974	-53.631577	12.5775795	-44.25659	-46.28915	-24.061066	Mozambique	Anopheles_gambiae	62	AG1000G-MZ	Joao Pinto	Furvela	2004	3.0	-23.715999999999998	35.299	F	gambiae	gambiae
