sample_id	type	source	species	country	mean1	mean2	mean3	sd1	sd2	sd3	status	contributor	location	year	month	latitude	longitude	sex_call	sample_set	aim_species	taxon
AB0229-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Burkina Faso	-96.60717	8.775464	-30.549356	-59.652176000000004	-37.046688	-28.38396	training	Austin Burt	Souroukoudinga	2012.0	7.0	11.235	-4.535	F	AG1000G-BF-A	coluzzii	coluzzii
AG0455-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Gambia, The	-66.87156999999999	-4.4026822999999995	-13.019097	-38.659824	-27.770863000000002	-18.916567	training	Beniamino Caputo	Sare Samba Sowe	2012.0	8.0	13.583	-15.9	UKN	AG1000G-GM-B	gambiae	gcx1
AN0176-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Cameroon	-80.45349	-22.6885	-4.383133	-40.67203	-34.799137	-20.296302999999998	training	Nora Besansky	Mayos	2009.0	9.0	4.341	13.558	F	AG1000G-CM-A	gambiae	gambiae
AR0011-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Angola	-61.86684399999999	28.857184999999998	-34.8223	-50.07011	-25.401846	-22.597078	training	Joao Pinto	Luanda	2009.0	4.0	-8.884	13.302	F	AG1000G-AO	coluzzii	coluzzii
AZ0282-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-96.11162	5.054158	-27.991034999999997	-57.365562	-36.575333	-27.939559999999997	training	Nora Besansky	Douna	2004.0	8.0	13.21	-5.9	F	AG1000G-ML-B	coluzzii	coluzzii
BL0089-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Tanzania	-82.88786	-73.16235	30.283037	-39.121662	-50.475132	-25.060454999999997	training	Bilali Kabula	Muleba	2015.0	3.0	-1.962	31.651	F	AG1000G-TZ	arabiensis	arabiensis
AB0128-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Burkina Faso	-84.59074	-22.925998999999997	-5.5500307	-42.209785	-35.79923	-21.317656	training	Austin Burt	Bana	2012.0	7.0	11.232999999999999	-4.4719999999999995	M	AG1000G-BF-A	gambiae	gambiae
BQ0055-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mozambique	-101.14969	-56.420193000000005	14.488657	-44.548214	-47.39638	-24.431192000000003	validation	Joao Pinto	Furvela	2004.0	2.0	-23.715999999999998	35.299	F	AG1000G-MZ	gambiae	gambiae
AA0050-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Ghana	-89.06659	-13.19239	-13.838676000000001	-47.269257	-35.392788	-23.839326999999997	validation	David Weetman	Madina	2012.0	11.0	5.667999999999999	-0.21899999999999997	F	AG1000G-GH	gambiae	gambiae
AV0249-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-87.61018	6.104819	-26.021887	-53.577445999999995	-34.008953000000005	-25.51604	training	Ken Vernick	Takan	2012.0	10.0	11.47	-8.33	F	AG1000G-GN-B	coluzzii	coluzzii
AC0106-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Uganda	-81.12912	-19.025528	-7.305275	-41.760128	-34.328175	-20.697847	validation	Martin Donnelly	Nagongera	2012.0	10.0	0.77	34.025999999999996	F	AG1000G-UG	gambiae	gambiae
AK0045-Cx	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Kenya	-82.949265	-17.008453	-9.007826	-43.565533	-34.900566	-21.350222	training	Janet Midega	Kilifi	2012.0	-1.0	-3.511	39.909	F	AG1000G-KE	gambiae	gcx3
AB0276-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Burkina Faso	-87.85661	11.069795	-29.645846999999996	-56.2213	-34.11172	-26.395529999999997	training	Austin Burt	Pala	2012.0	7.0	11.15	-4.235	F	AG1000G-BF-A	coluzzii	coluzzii
AV0030-Cx	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Guinea	-81.63081	-22.05463	-5.281769000000001	-41.140175	-34.822098	-20.777763	training	Ken Vernick	Koundara	2012.0	10.0	8.48	-9.53	F	AG1000G-GN-A	gambiae	gambiae
AG0448-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Gambia, The	-67.34634	-3.3452482000000003	-14.0980215	-38.695038000000004	-27.576040000000003	-19.181704999999997	training	Beniamino Caputo	Sare Samba Sowe	2012.0	8.0	13.583	-15.9	F	AG1000G-GM-B	gambiae	gcx1
AZ0274-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-95.21301	11.141884	-32.089355	-60.418488	-36.97676	-28.346663	training	Nora Besansky	Moribobougou	2004.0	8.0	12.69	-7.87	F	AG1000G-ML-B	coluzzii	coluzzii
AB0433-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Burkina Faso	-100.96216	-25.965187	-8.429212	-49.779522	-41.145447	-25.761827	training	Austin Burt	Bana	2014.0	7.0	11.232999999999999	-4.4719999999999995	F	AG1000G-BF-B	gambiae	gambiae
BL0308-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Tanzania	-85.56201	-80.08187	34.292545000000004	-41.24149	-55.06655500000001	-27.228996000000002	training	David Weetman	Tarime	2012.0	8.0	-1.431	34.199	F	AG1000G-TZ	arabiensis	arabiensis
AA0089-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Ghana	-60.32663	20.274136	-28.753211999999998	-45.449059999999996	-24.525738	-20.962007999999997	training	David Weetman	Twifo Praso	2012.0	9.0	5.609	-1.5490000000000002	F	AG1000G-GH	coluzzii	coluzzii
AC0066-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Uganda	-83.668205	-69.727715	27.943462	-38.677837	-48.629954999999995	-24.332563	training	Martin Donnelly	Nagongera	2012.0	10.0	0.77	34.025999999999996	F	AG1000G-UG	arabiensis	arabiensis
AZ0281-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-91.95496999999999	8.173385000000001	-28.796566	-56.739647	-35.382690000000004	-27.094216999999997	training	Nora Besansky	Douna	2004.0	8.0	13.21	-5.9	F	AG1000G-ML-B	coluzzii	coluzzii
AG0284-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Gambia, The	-85.48659	2.0628924	-22.927061	-50.39372	-32.997116	-24.486937	training	Charles Godfray	Wali Kunda	2012.0	10.0	13.567	-14.917	F	AG1000G-GM-C	coluzzii	gcx2
BK0026-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Central African Republic	-82.27167	-21.660286	-5.637962	-41.677986	-35.158584999999995	-20.827145	training	Alessandra della Torre	Bangui	1994.0	1.0	4.367	18.583	F	AG1000G-CF	gambiae	gambiae
AG0418-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Gambia, The	-81.74301	4.9690814	-23.670753	-49.813423	-32.006294	-23.663677	training	Beniamino Caputo	Tankular	2012.0	8.0	13.417	-16.033	UKN	AG1000G-GM-B	coluzzii	gcx2
BL0322-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Tanzania	-79.43096	-76.31146	33.00007	-39.156837	-52.901134	-25.108597	training	David Weetman	Tarime	2012.0	8.0	-1.431	34.199	F	AG1000G-TZ	arabiensis	arabiensis
AG0368-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Gambia, The	-82.91785	5.570511	-24.22928	-51.16896	-32.53366	-24.073339999999998	training	Charles Godfray	Wali Kunda	2012.0	10.0	13.567	-14.917	F	AG1000G-GM-C	coluzzii	gcx2
BP0010-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Democratic Republic of the Congo	-88.45943	-31.188979999999997	-0.49758977	-42.231857	-38.3923	-21.949379999999998	training	David Weetman	Gbadolite	2015.0	7.0	4.283	21.017	F	AG1000G-CD	gambiae	gambiae
AZ0283-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mali	-90.79548	-17.657532	-11.396205	-46.710840000000005	-36.321217	-23.890535	training	Nora Besansky	Bancoumana	2004.0	8.0	12.2	-8.2	F	AG1000G-ML-B	gambiae	gambiae
BK0006-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Central African Republic	-65.13113	30.272463000000002	-36.956142	-52.649063	-27.046428999999996	-23.555338	training	Alessandra della Torre	Bangui	1993.0	12.0	4.367	18.583	F	AG1000G-CF	coluzzii	coluzzii
AZ0271-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-84.56868	4.2141743	-24.165676	-50.717022	-32.603165000000004	-24.663849	training	Nora Besansky	Fanzana	2004.0	8.0	13.2	-6.13	F	AG1000G-ML-B	coluzzii	coluzzii
AJ0122-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Guinea-Bissau	-96.38271999999999	-15.759657	-14.309771	-50.19332	-38.004670000000004	-25.55558	training	Joao Pinto	Leibala	2010.0	-1.0	12.272	-14.222000000000001	F	AG1000G-GW	gambiae	gambiae
AB0389-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Burkina Faso	-94.1819	-16.430073	-13.27895	-48.80542	-37.243576000000004	-24.967081	training	Austin Burt	Bana	2014.0	7.0	11.232999999999999	-4.4719999999999995	M	AG1000G-BF-B	gambiae	gambiae
AB0155-Cx	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Burkina Faso	-93.02557	-19.678665	-10.450381	-47.678364	-38.082417	-23.92889	training	Austin Burt	Bana	2012.0	7.0	11.232999999999999	-4.4719999999999995	M	AG1000G-BF-A	gambiae	gambiae
AN0503-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Cameroon	-66.34538	-20.93763	-1.2522872999999999	-33.527985	-29.700747999999997	-16.67439	training	Brad White	Manda	2013.0	10.0	5.726	10.868	F	AG1000G-CM-C	gambiae	gambiae
AZ0331-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mali	-94.57437	-19.809647000000002	-10.992444	-47.8468	-37.885036	-24.523457	training	Austin Burt	Kababougou	2014.0	8.0	12.89	-8.15	M	AG1000G-ML-A	gambiae	gambiae
AV0047-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Guinea	-71.89874	-19.249493	-4.1743865	-36.98842	-31.466093	-18.347586	training	Ken Vernick	Koundara	2012.0	10.0	8.48	-9.53	F	AG1000G-GN-A	gambiae	gambiae
BK0005-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Central African Republic	-82.46136	-30.696928000000003	1.1429423	-39.595158000000005	-36.581753000000006	-20.058521	training	Alessandra della Torre	Bangui	1993.0	12.0	4.367	18.583	F	AG1000G-CF	gambiae	gambiae
AB0193-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Burkina Faso	-93.4671	7.816259	-28.960659000000003	-57.264175	-35.738045	-27.53207	training	Austin Burt	Bana	2012.0	7.0	11.232999999999999	-4.4719999999999995	F	AG1000G-BF-A	coluzzii	coluzzii
AZ0276-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-94.62732	6.2027316	-28.212093	-57.50714	-36.314659999999996	-27.406582	training	Nora Besansky	Moribobougou	2004.0	8.0	12.69	-7.87	F	AG1000G-ML-B	coluzzii	coluzzii
BL0109-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Tanzania	-83.52490999999999	-15.998997	-9.947764999999999	-44.1457	-34.584164	-21.843560999999998	validation	Bilali Kabula	Muleba	2015.0	3.0	-1.962	31.651	M	AG1000G-TZ	gambiae	gambiae
VBS02097-4431STDY6772815	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mali	-98.39435	-18.12138	-13.228798000000001	-50.546093	-39.018124	-25.784569	training	Nora Besansky	Kela	2004.0	8.0	11.88	-8.45	F	AG1000G-ML-B	gambiae	gambiae
AG0023-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Gambia, The	-87.1293	2.673186	-23.825716	-51.82936	-33.743373999999996	-25.082501999999998	training	Charles Godfray	Wali Kunda	2012.0	10.0	13.567	-14.917	F	AG1000G-GM-C	coluzzii	gcx2
AC0226-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Uganda	-89.95445	-25.138554	-5.4633255	-44.54142	-37.918884000000006	-22.732273	validation	Martin Donnelly	Kihihi	2012.0	10.0	-0.7509999999999999	29.701	F	AG1000G-UG	gambiae	gambiae
AK0096-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Kenya	-88.78641999999999	-17.089966	-10.986624	-46.055541999999996	-36.059146999999996	-23.182098	training	Janet Midega	Kilifi	2012.0	-1.0	-3.511	39.909	F	AG1000G-KE	intermediate_gambiae_coluzzii	gcx3
AB0147-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Burkina Faso	-85.76467	-22.813732	-6.07726	-42.798088	-35.869343	-21.931353	training	Austin Burt	Souroukoudinga	2012.0	7.0	11.235	-4.535	F	AG1000G-BF-A	gambiae	gambiae
AN0042-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Cameroon	-73.04934	-17.959293	-5.6935687	-37.562884999999994	-31.251595000000002	-18.818626000000002	training	Nora Besansky	Gado Badzere	2009.0	9.0	5.747000000000001	14.442	F	AG1000G-CM-A	gambiae	gambiae
AN0094-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Cameroon	-72.93344	-14.925488	-7.7447862999999995	-38.527977	-30.975952000000003	-19.18775	training	Nora Besansky	Gado Badzere	2009.0	9.0	5.747000000000001	14.442	F	AG1000G-CM-A	gambiae	gambiae
AA0055-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Ghana	-74.9348	14.312028	-28.289719	-50.840626	-29.711206	-23.53562	training	David Weetman	Takoradi	2012.0	8.0	4.912	-1.774	F	AG1000G-GH	coluzzii	coluzzii
AK0044-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Kenya	-83.63603	-78.529175	33.666824	-40.323845	-54.01239399999999	-26.596527000000002	training	Janet Midega	Kilifi	2012.0	-1.0	-3.511	39.909	F	AG1000G-KE	arabiensis	arabiensis
AZ0298-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-101.98382600000001	8.235284	-31.779495	-62.345622999999996	-38.8876	-29.827253000000002	training	Austin Burt	Kababougou	2014.0	8.0	12.89	-8.15	F	AG1000G-ML-A	coluzzii	coluzzii
AS0068-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Gabon	-68.946815	-24.476162	0.4980505	-34.059387	-31.350006	-17.043934	training	Joao Pinto	Libreville	2000.0	12.0	0.384	9.455	F	AG1000G-GA-A	gambiae	gambiae
AV0304-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-87.262985	11.675505000000001	-30.014008	-56.246735	-33.868970000000004	-26.333311	training	Ken Vernick	Takan	2012.0	10.0	11.47	-8.33	F	AG1000G-GN-B	coluzzii	coluzzii
AZ0254-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mali	-92.97269	-11.120659	-16.51243	-49.670994	-36.215008000000005	-25.299845	training	Nora Besansky	Bancoumana	2004.0	8.0	12.2	-8.2	F	AG1000G-ML-B	gambiae	gambiae
AB0194-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Burkina Faso	-85.80735	5.009000299999999	-25.005126999999998	-51.83931	-33.095985	-25.161514	training	Austin Burt	Bana	2012.0	7.0	11.232999999999999	-4.4719999999999995	F	AG1000G-BF-A	coluzzii	coluzzii
VBS02064-4431STDY6672932	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-88.011185	6.539424400000001	-26.541697999999997	-54.156333999999994	-34.26504	-25.670174	training	Nora Besansky	Douna	2004.0	8.0	13.21	-5.9	F	AG1000G-ML-B	coluzzii	coluzzii
AV0107-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Guinea	-75.68136	-22.16966	-3.2478871	-38.05939	-33.229668	-19.059677	training	Ken Vernick	Koraboh	2012.0	10.0	9.28	-10.03	M	AG1000G-GN-B	gambiae	gambiae
AZ0325-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mali	-99.863754	-16.506224	-14.668491	-52.26963	-39.74689	-26.145063	training	Austin Burt	Kababougou	2014.0	8.0	12.89	-8.15	F	AG1000G-ML-A	gambiae	gambiae
BQ0119-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mozambique	-111.89282	-50.799294	7.121131	-49.873188	-49.380764	-26.453853999999996	training	Joao Pinto	Furvela	2004.0	3.0	-23.715999999999998	35.299	F	AG1000G-MZ	gambiae	gambiae
AV0325-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mali	-92.85965999999999	-16.641613	-12.5388365	-48.144905	-37.179333	-24.408188	training	Ken Vernick	Takan	2012.0	10.0	11.47	-8.33	M	AG1000G-GN-B	gambiae	gambiae
AA0115-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Ghana	-89.2003	7.2651305	-27.465982	-54.678497	-34.232594	-26.25338	training	David Weetman	Takoradi	2012.0	8.0	4.912	-1.774	F	AG1000G-GH	coluzzii	coluzzii
BK0024-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Central African Republic	-58.441837	30.62238	-35.09973	-49.47135	-25.120464000000002	-21.835817000000002	training	Alessandra della Torre	Bangui	1994.0	1.0	4.367	18.583	F	AG1000G-CF	coluzzii	coluzzii
AC0087-Cx	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Uganda	-84.11140400000001	-74.99513	31.055275	-39.84326	-51.76005	-25.510178	training	Martin Donnelly	Nagongera	2012.0	10.0	0.77	34.025999999999996	F	AG1000G-UG	arabiensis	arabiensis
AN0587-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Cameroon	-72.57390600000001	-23.20082	-1.4915107	-36.519604	-32.512108000000005	-18.153675	training	Brad White	Manda	2013.0	10.0	5.726	10.868	F	AG1000G-CM-C	gambiae	gambiae
AG0442-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Gambia, The	-91.41521	-5.447519000000001	-19.713836999999998	-51.297638	-35.600708000000004	-25.377751999999997	training	Beniamino Caputo	Sare Samba Sowe	2012.0	8.0	13.583	-15.9	UKN	AG1000G-GM-B	gambiae	gcx1
BL0368-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Tanzania	-104.43788	-50.874275	9.23211	-46.392002000000005	-47.082066	-24.704174	training	David Weetman	Muheza	2013.0	1.0	-4.94	38.948	F	AG1000G-TZ	gambiae	gambiae
AG0456-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Gambia, The	-89.011765	-7.992931	-17.311478	-48.787384	-34.874171999999994	-24.259203	training	Beniamino Caputo	Sare Samba Sowe	2012.0	8.0	13.583	-15.9	UKN	AG1000G-GM-B	gambiae	gcx1
