	Anopheles_marshallii_complex	Anopheles_marshallii_cp_sp1	Anopheles_theileri	Anopheles_moucheti	Anopheles_jebudensis	Myzomyia_sp1	Anopheles_gabonensis	Anopheles_funestus	Anopheles_rhodesiensis	Anopheles_minimus_A	Anopheles_culicifacies	Anopheles_aconitus	Anopheles_rampae	Anopheles_maculatus_A	Anopheles_maculatus_B	Anopheles_maculipalpis	Anopheles_annularis	Anopheles_jamesii	Anopheles_stephensi	Anopheles_gambiae_coluzzii	Anopheles_arabiensis	Anopheles_gambiae_cp_sp1	Anopheles_quadriannulatus	Anopheles_melas	Anopheles_merus	Anopheles_christyi	Anopheles_sundaicus_complex	Anopheles_vagus	Anopheles_dirus_A	Anopheles_balabacensis	Anopheles_cracens	Anopheles_koliensis	Anopheles_farauti	Anopheles_punctulatus	Anopheles_tessellatus	Anopheles_coustani_cp_cl3	Anopheles_coustani_cp_cl2	Anopheles_coustani_cp_cl1	Anopheles_hyrcanus_gp_sp1	Anopheles_hyrcanus_gp_sp2	Anopheles_sinensis	Anopheles_barbirostris	Anopheles_atroparvus	Anopheles_implexus	Anopheles_nili_gp_sp3	Anopheles_nili_gp_sp2	Anopheles_nili_gp_sp1	Anopheles_carnevalei	Anopheles_vinckei	Anopheles_dureni	Anopheles_aquasalis	Anopheles_oryzalimnetes	Anopheles_darlingi	Anopheles_albimanus	Anopheles_cruzii	Anopheles_bellator
Athe-6-1	0.01634550008426264	0.04330010285853754	0.8903121527394399	0.008240305437555568	0.011392890557353805	0.002115282919090428	0.0018915510718789399	0.0077340031729243785	0.004230565838180856	0.002115282919090428	0.0	0.0	0.002115282919090428	0.0	0.002115282919090428	0.0	0.0039283825640250795	0.0023419203747072595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018214936247723129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Athe-2	0.014709158283986416	0.033737261328482905	0.8939451317822551	0.016166805167333986	0.011032595115091148	0.0021152829190904283	0.0018915510718789407	0.007734003172924379	0.004230565838180857	0.0021152829190904283	0.0	0.0	0.0021152829190904283	0.0	0.0021152829190904283	0.0	0.003928382564025081	0.00234192037470726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018214936247723133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Athe-6-2	0.0173487466834241	0.04190231811199554	0.8919429025275799	0.005664362519201229	0.009452241307080016	0.0026881720430107525	0.0037878787878787884	0.0020161290322580645	0.009164222873900294	0.0026881720430107525	0.0	0.0	0.0026881720430107525	0.0	0.0026881720430107525	0.0	0.0049923195084485405	0.002976190476190476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Athe-1	0.02356236953011146	0.03241462838237032	0.8931467203644623	0.00837764386151483	0.011582772066643031	0.0021505376344086017	0.0019230769230769227	0.007862903225806451	0.004301075268817203	0.0021505376344086017	0.0	0.0	0.0021505376344086017	0.0	0.0021505376344086017	0.0	0.003993855606758832	0.0023809523809523807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018518518518518515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amou-2-3	0.011909468333743891	0.007998125439350152	0.008954231480201955	0.9191961552814476	0.013213249298541807	0.005576817933296883	0.0	0.009173197254115787	0.002186987424822307	0.007263922518159805	0.009685230024213074	0.0	0.0	0.0	0.0	0.0	0.0024213075060532684	0.0024213075060532684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amou-2-5	0.011909468333743895	0.007998125439350152	0.008954231480201956	0.9402884340008452	0.01321324929854181	0.005576817933296885	0.0	0.005030071077091306	0.002186987424822307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024213075060532684	0.0024213075060532684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amou-2-2	0.011710977194848165	0.007864823348694316	0.008804994288865256	0.9372095526934237	0.012993028476899444	0.005483870967741935	0.0	0.009020310633213858	0.0021505376344086017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023809523809523807	0.0023809523809523807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amou-2-1	0.008579807289484709	0.008579807289484709	0.0049434436531210725	0.9503979891076664	0.008579807289484709	0.0059824046920821106	0.0	0.005395894428152493	0.002346041055718475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002597402597402597	0.002597402597402597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amou-2-4	0.011744684939707829	0.008136024153821706	0.00869737138718177	0.9405337787648882	0.012947571868336541	0.005672969966629588	0.0	0.005116796440489432	0.0022246941045606225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002463054187192118	0.002463054187192118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ajab-B620	0.027901958414817275	0.024408194423771547	0.010298367570100756	0.02876083730375693	0.8905098893390258	0.005576817933296883	0.0038740920096852296	0.0016402405686167301	0.002186987424822307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024213075060532684	0.0024213075060532684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amar-42	0.02693343541239597	0.02343967142135024	0.010298367570100758	0.04006027233200552	0.8693099969526927	0.005576817933296885	0.006295399515738499	0.0016402405686167304	0.002186987424822307	0.004708097928436912	0.004708097928436912	0.0	0.0	0.0	0.0	0.0	0.0024213075060532684	0.0024213075060532684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adem-15	0.07171948564655438	0.07160655509884123	0.061143539853217264	0.0723905723905724	0.08775853775853776	0.0	0.07688311688311689	0.11435786435786435	0.11110024980992723	0.061843454211668224	0.1318181818181818	0.027272727272727268	0.007693634638606175	0.008823529411764706	0.010902190788338796	0.00909090909090909	0.01994134897360704	0.019068736141906874	0.00909090909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00598669623059867	0.0	0.0	0.0	0.0	0.0019955654101995565	0.0	0.0	0.0	0.0013303769401330375	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agab-M192	0.09151452869927942	0.05733697604665345	0.06394666265634008	0.007272727272727274	0.09993265993265994	0.14479338842975206	0.0	0.11739269528125833	0.06537634408602151	0.11214648451469852	0.06545454545454546	0.049090909090909095	0.038709677419354833	0.0	0.020527859237536656	0.0	0.0017595307917888567	0.0008869179600886918	0.00909090909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	0.0	0.00909090909090909	0.01818181818181818	0.0	0.0	0.0	0.00598669623059867	0.0	0.0	0.0	0.0	0.0019955654101995565	0.0	0.0	0.0	0.0013303769401330375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afun-3	0.010108695652173913	0.002608695652173913	0.002608695652173913	0.002608695652173913	0.002608695652173913	0.015108695652173912	0.0	0.9517391304347826	0.0076086956521739125	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afun-1	0.00582679971489665	0.002138275124732716	0.022630078403421242	0.00582679971489665	0.021107830159861517	0.006236635780470421	0.0	0.874376336421953	0.04136544140107932	0.004098360655737704	0.0	0.0	0.002522068095838588	0.005044136191677175	0.005044136191677175	0.0	0.0037831021437578815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-funestus-fumozchromosomesafunf3	0.010127314814814816	0.0023148148148148147	0.0023148148148148147	0.016427718040621268	0.0023148148148148147	0.015335648148148147	0.0023148148148148147	0.936118578255675	0.007523148148148149	0.005208333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-funestus-fumozscaffoldsafunf1	0.010108695652173913	0.002608695652173913	0.002608695652173913	0.016157082748948108	0.002608695652173913	0.015108695652173912	0.0	0.9381907433380084	0.0076086956521739125	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arho-7-3	0.004373974849644614	0.004373974849644614	0.004373974849644614	0.002186987424822307	0.002186987424822307	0.009814106068890105	0.0	0.005877528704209952	0.9131310369965374	0.015463823583014397	0.003389830508474577	0.00903954802259887	0.002186987424822307	0.0	0.002186987424822307	0.0	0.0016402405686167304	0.0	0.0	0.013323214436293113	0.0021502656210473053	0.0	0.0021502656210473053	0.0	0.0021502656210473053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arho-7-4	0.004373974849644614	0.004373974849644614	0.004373974849644614	0.002186987424822307	0.002186987424822307	0.009814106068890105	0.0	0.005877528704209952	0.9159558957535996	0.015463823583014397	0.020338983050847456	0.00903954802259887	0.002186987424822307	0.0	0.002186987424822307	0.0	0.0016402405686167304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arho-7-1	0.004301075268817204	0.004301075268817204	0.004301075268817204	0.002150537634408602	0.002150537634408602	0.009650537634408604	0.0	0.005779569892473119	0.9173566308243728	0.01520609318996416	0.0033333333333333327	0.008888888888888889	0.002150537634408602	0.0	0.002150537634408602	0.0	0.0016129032258064516	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00059	0.0022637238256932647	0.0022637238256932647	0.0022637238256932647	0.001594896331738437	0.0	0.007894736842105262	0.005012531328320803	0.0043859649122807015	0.016006413884172798	0.8910815740684471	0.02526771474139895	0.025898078529657483	0.0022637238256932647	0.0	0.0022637238256932647	0.0	0.001697792869269949	0.0008557980316645272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057766367137355576	0.0	0.0	0.0	0.0	0.0019255455712451864	0.0	0.0	0.0	0.0012836970474967909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-minimus-minimus1scaffoldsaminm1	0.0	0.0	0.0	0.0	0.0	0.008333333333333335	0.0052910052910052924	0.004629629629629629	0.014506172839506176	0.8890383705424356	0.0552910052910053	0.012522045855379192	0.0	0.0	0.0	0.0	0.0	0.000903342366757001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006097560975609757	0.0	0.0	0.0	0.0	0.002032520325203252	0.0	0.0	0.0	0.0013550135501355016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00061	0.0023460410557184746	0.0023460410557184746	0.0023460410557184746	0.0021390374331550803	0.0	0.008181818181818179	0.005194805194805194	0.004545454545454545	0.016588465298142716	0.8835979742014822	0.028617265087853318	0.018354978354978357	0.004825379898693681	0.006611570247933882	0.0023460410557184746	0.0	0.0017595307917888559	0.0008869179600886916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005986696230598668	0.0	0.0	0.0	0.0	0.0019955654101995557	0.0	0.0	0.0	0.0013303769401330375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-culicifacies-37scaffoldsacula1	0.01212121212121212	0.03333333333333333	0.0058651026392961885	0.05534290271132376	0.0	0.07727272727272727	0.061818181818181814	0.02424242424242424	0.05909090909090909	0.3169502093693572	0.0	0.2255816226783969	0.01818181818181818	0.0	0.03636363636363636	0.0	0.0	0.0008869179600886918	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0030303030303030307	0.01818181818181818	0.01818181818181818	0.0	0.0	0.0	0.0	0.006060606060606061	0.00598669623059867	0.0	0.0	0.0	0.0	0.0019955654101995565	0.0	0.0	0.0	0.0013303769401330375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00055	0.008130081300813006	0.024390243902439025	0.014227642276422762	0.018292682926829267	0.0	0.03536585365853658	0.006097560975609756	0.006097560975609756	0.019105691056910568	0.18373983739837402	0.12886178861788616	0.506910569105691	0.0	0.0	0.0	0.0	0.006097560975609756	0.018292682926829267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013937282229965157	0.010452961672473868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00053	0.0	0.0	0.0	0.03225806451612904	0.0	0.006451612903225808	0.04301075268817205	0.0	0.017204301075268817	0.156989247311828	0.049462365591397855	0.6623655913978496	0.0	0.0	0.0	0.0	0.03225806451612904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006613756613756613	0.0	0.00102880658436214	0.0	0.0	0.7526006583354253	0.22055483843118254	0.016225749559082896	0.0	0.0019841269841269845	0.0	0.006944444444444445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014705882352941176	0.0	0.0010893246187363831	0.0	0.0	0.7403401609283962	0.2226228020345667	0.03006535947712418	0.0	0.004411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00112	0.0022637238256932647	0.003811711441792337	0.003811711441792337	0.0	0.0	0.0	0.0	0.0003869969040247678	0.0022637238256932647	0.003238382695088977	0.0	0.0	0.7419836531116867	0.1927783286766608	0.04002403712780223	0.0	0.0028587835813442533	0.0	0.006578947368421052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00115	0.002186987424822308	0.002186987424822308	0.002186987424822308	0.0	0.0	0.0021186440677966106	0.0	0.002723970944309928	0.004305631492618919	0.006000546746856207	0.016949152542372885	0.0	0.7172897690530277	0.20703200448963166	0.02720716498737276	0.0	0.0034562211981566827	0.0	0.006355932203389832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013477088948787065	0.0	0.002039775624681285	0.0	0.0	0.4686747809389319	0.4935279619241884	0.030366645932683674	0.0	0.004043126684636119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015527950310559007	0.0	0.0023501762632197423	0.0	0.0	0.3698478244205381	0.5916995148441926	0.029891304347826088	0.0	0.004658385093167702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
