	Anopheles_marshallii_group	Anopheles_moucheti_group	Myzomyia_sp1	Anopheles_gabonensis	Anopheles_funestus	Anopheles_rhodesiensis	Anopheles_minimus_A	Anopheles_culicifacies	Anopheles_aconitus	Anopheles_maculatus_group	Anopheles_maculipalpis	Anopheles_annularis	Anopheles_jamesii	Anopheles_stephensi	Anopheles_gambiae_complex	Anopheles_christyi	Anopheles_sundaicus_complex	Anopheles_vagus	Anopheles_dirus_complex	Anopheles_punctulatus_group	Anopheles_tessellatus	Anopheles_coustani_complex	Anopheles_hyrcanus_gp_sp1	Anopheles_sinensis_group	Anopheles_barbirostris	Anopheles_atroparvus	Anopheles_implexus	Anopheles_nili_group	Anopheles_vinckei	Anopheles_dureni	Anopheles_aquasalis	Anopheles_oryzalimnetes	Anopheles_darlingi	Anopheles_albimanus	Kerteszia_subgenus
Athe-6-1	0.9364632733573294	0.01792681304109284	0.0034512510785159613	0.0039299348753649216	0.01004000313750098	0.006902502157031924	0.0034512510785159613	0.0	0.0	0.0034512510785159613	0.0	0.006686798964624676	0.004098360655737704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003598560575769692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Athe-2	0.924595315825702	0.029794770572720387	0.003451251078515962	0.0039299348753649216	0.010040003137500982	0.006902502157031924	0.003451251078515962	0.0	0.0	0.003451251078515962	0.0	0.006686798964624678	0.004098360655737704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003598560575769693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Athe-6-2	0.93629423430444	0.011492551852295887	0.0043859649122807015	0.006643887623386485	0.003289473684210526	0.015415817447947887	0.0043859649122807015	0.0	0.0	0.0043859649122807015	0.0	0.00849780701754386	0.005208333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Athe-1	0.9354043279132848	0.018225593258444386	0.003508771929824561	0.0039954337899543385	0.010207336523125995	0.007017543859649122	0.003508771929824561	0.0	0.0	0.003508771929824561	0.0	0.006798245614035086	0.0041666666666666675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003658536585365854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amou-2-3	0.02003339744064937	0.9292077502839952	0.009845706545082105	0.0	0.01192117427621442	0.003568242640499554	0.007263922518159807	0.009685230024213077	0.0	0.0	0.0	0.004237288135593221	0.004237288135593221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amou-2-5	0.02003339744064937	0.9511646069866144	0.009845706545082102	0.0	0.006913470115967886	0.0035682426404995532	0.0	0.0	0.0	0.0	0.0	0.00423728813559322	0.00423728813559322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amou-2-2	0.019699507483305213	0.947054287779262	0.0096816114359974	0.0	0.011722488038277513	0.003508771929824561	0.0	0.0	0.0	0.0	0.0	0.004166666666666668	0.004166666666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amou-2-1	0.013087010455431508	0.9560163033847244	0.01056175793017898	0.0	0.007416267942583731	0.0038277511961722493	0.0	0.0	0.0	0.0	0.0	0.004545454545454545	0.004545454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amou-2-4	0.019434361766485175	0.9512670565302144	0.010015460106204205	0.0	0.007032667876588021	0.003629764065335753	0.0	0.0	0.0	0.0	0.0	0.004310344827586206	0.004310344827586206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ajab-B620	0.05557198709265195	0.9111238986905442	0.009845706545082102	0.008739406779661016	0.002676181980374665	0.0035682426404995532	0.0	0.0	0.0	0.0	0.0	0.00423728813559322	0.00423728813559322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amar-42	0.05135019561229417	0.8979194919443895	0.009845706545082102	0.013453740599393872	0.002676181980374665	0.0035682426404995532	0.006355932203389831	0.006355932203389831	0.0	0.0	0.0	0.00423728813559322	0.00423728813559322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adem-15	0.19198588736321548	0.15746127071419336	0.0	0.08156008029825065	0.11948717948717948	0.11572498439775325	0.0647767928044004	0.1318181818181818	0.028260869565217388	0.023590597045974614	0.00909090909090909	0.021052631578947368	0.019120234604105567	0.00909090909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.006334310850439883	0.0	0.0	0.0010557184750733136	0.0	0.0	0.001407624633431085	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agab-M192	0.201151227094746	0.10483027538242262	0.14829767247677694	0.0	0.12012096681461723	0.07143717880559985	0.11409168081494055	0.06545454545454546	0.049090909090909095	0.058373205741626785	0.0	0.002870813397129186	0.00093841642228739	0.00909090909090909	0.0	0.0	0.0	0.01818181818181818	0.027272727272727268	0.0	0.006334310850439883	0.0	0.0	0.0010557184750733136	0.0	0.0	0.001407624633431085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afun-3	0.00985272459499264	0.004285714285714286	0.017945508100147275	0.0	0.9536303387334316	0.009285714285714286	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afun-1	0.027317057521414136	0.02284934208415717	0.0076112412177985955	0.0	0.8752927400468384	0.04643781585110317	0.004098360655737704	0.0	0.0	0.007996801279488205	0.0	0.008396641343462616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-funestus-fumozchromosomesafunf3	0.009271191294387174	0.015972222222222224	0.01770117411225659	0.0034722222222222225	0.939694301260023	0.008680555555555556	0.005208333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-funestus-fumozscaffoldsafunf1	0.00985272459499264	0.016285714285714292	0.017945508100147275	0.0	0.9416303387334316	0.009285714285714286	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arho-7-3	0.0071364852809991065	0.0035682426404995532	0.01119536128456735	0.0	0.006913470115967886	0.915893547427892	0.016845078798691644	0.003389830508474577	0.00903954802259887	0.0035682426404995532	0.0	0.002676181980374665	0.0	0.0	0.019774011299435026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arho-7-4	0.0071364852809991065	0.0035682426404995532	0.01119536128456735	0.0	0.006913470115967886	0.918718406184954	0.016845078798691644	0.020338983050847456	0.00903954802259887	0.0035682426404995532	0.0	0.002676181980374665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arho-7-1	0.007017543859649122	0.003508771929824561	0.01100877192982456	0.0	0.006798245614035086	0.9200730994152048	0.016564327485380115	0.0033333333333333327	0.008888888888888889	0.003508771929824561	0.0	0.002631578947368421	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00059	0.003693444136657433	0.0011695906432748536	0.007894736842105262	0.005012531328320801	0.0043859649122807015	0.017436134195136958	0.8931711707111581	0.025480367585630742	0.025898078529657472	0.003693444136657433	0.0	0.002770083102493075	0.0009054895302773061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006112054329371816	0.0	0.0	0.0010186757215619694	0.0	0.0	0.0013582342954159589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-minimus-minimus1scaffoldsaminm1	0.0	0.0	0.008333333333333333	0.005291005291005291	0.0046296296296296285	0.014506172839506172	0.889510439779257	0.05529100529100529	0.01252204585537919	0.0	0.0	0.0	0.0009557945041816008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0064516129032258064	0.0	0.0	0.001075268817204301	0.0	0.0	0.0014336917562724016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00061	0.0038277511961722493	0.0015810276679841895	0.00818181818181818	0.005194805194805196	0.004545454545454545	0.01807017543859649	0.8857291737567814	0.02898927159796725	0.018354978354978357	0.01291866028708134	0.0	0.002870813397129186	0.00093841642228739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006334310850439883	0.0	0.0	0.0010557184750733136	0.0	0.0	0.001407624633431085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-culicifacies-37scaffoldsacula1	0.03769425019425019	0.05319097956307259	0.07727272727272727	0.061818181818181814	0.026573426573426567	0.05909090909090909	0.32219392726969626	0.0	0.2278787878787879	0.054545454545454536	0.0	0.0	0.00093841642228739	0.0	0.01818181818181818	0.0	0.012500000000000002	0.01818181818181818	0.01818181818181818	0.002959830866807611	0.006334310850439883	0.0	0.0	0.0010557184750733136	0.0	0.0	0.001407624633431085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00055	0.03918598192193103	0.021208907741251323	0.03536585365853658	0.006097560975609756	0.006097560975609756	0.019105691056910568	0.18373983739837402	0.1335075493612079	0.506910569105691	0.0	0.0	0.006097560975609756	0.018292682926829267	0.0	0.0	0.0	0.013937282229965157	0.010452961672473868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00053	0.0	0.03225806451612904	0.006451612903225807	0.04301075268817205	0.0	0.017204301075268817	0.15698924731182798	0.04946236559139785	0.6623655913978495	0.0	0.0	0.03225806451612904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00114	0.0	0.0	0.0	0.0	0.0013227513227513227	0.0	0.0023148148148148147	0.0	0.0	0.984457671957672	0.0	0.003968253968253968	0.0	0.007936507936507936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00113	0.0	0.0	0.0	0.0	0.002941176470588236	0.0	0.0024509803921568627	0.0	0.0	0.98578431372549	0.0	0.008823529411764706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00112	0.005123650086314183	0.0	0.0	0.0	0.0010011441647597254	0.003693444136657433	0.005886426592797784	0.0	0.0	0.9710030224302174	0.0	0.00577351559677225	0.0	0.0075187969924812035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00115	0.003568242640499554	0.0	0.0021186440677966106	0.0	0.003329297820823245	0.005686886708296164	0.009453365051045694	0.016949152542372885	0.0	0.9453223454115516	0.0	0.006308143239454569	0.0	0.007263922518159807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00108	0.0	0.0	0.0	0.0	0.0028301886792452837	0.0	0.005390835579514824	0.0	0.0	0.983288409703504	0.0	0.00849056603773585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00107	0.0	0.0	0.0	0.0	0.003260869565217392	0.0	0.006211180124223602	0.0	0.0	0.9807453416149068	0.0	0.009782608695652176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-maculatus-maculatus3scaffoldsamacm1	0.004784688995215311	0.0	0.0	0.0	0.0034090909090909102	0.004784688995215311	0.009835194045720362	0.0	0.0	0.9406432748538012	0.0	0.01381578947368421	0.0	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amac-42	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amac-44	0.0	0.0	0.005952380952380952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9880952380952379	0.0	0.0	0.005952380952380952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amac-50	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amac-49	0.0	0.0	0.006289308176100628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9874213836477986	0.0	0.0	0.006289308176100628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00004	0.008035714285714287	0.004464285714285715	0.0	0.0	0.0027372262773722638	0.0035714285714285718	0.0035714285714285718	0.0	0.0	0.029249217935349323	0.01785714285714286	0.9081921272158499	0.004464285714285715	0.01785714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00003	0.009285714285714288	0.005000000000000001	0.0	0.0	0.003065693430656935	0.004285714285714287	0.004285714285714287	0.0	0.0	0.013044838373305528	0.020000000000000004	0.9360323253388948	0.005000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00001	0.01406926406926407	0.007575757575757577	0.0	0.0	0.0038567493112947656	0.006493506493506494	0.006493506493506494	0.0	0.0	0.01751279024006297	0.0	0.93642266824085	0.007575757575757577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00002	0.009285714285714288	0.005000000000000001	0.0	0.0	0.003065693430656935	0.004285714285714287	0.004285714285714287	0.0	0.0	0.013044838373305528	0.0	0.9560323253388948	0.005000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00127	0.008373205741626795	0.004545454545454545	0.0	0.0	0.0	0.0038277511961722493	0.0038277511961722493	0.0	0.0	0.0038277511961722493	0.0	0.007416267942583731	0.968181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00128	0.004807692307692307	0.004807692307692307	0.0	0.0	0.0	0.009615384615384614	0.003139717425431711	0.0	0.0	0.0	0.0	0.004807692307692307	0.9695512820512819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023547880690737827	0.0	0.0	0.0003924646781789639	0.0	0.0	0.0005232862375719519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00125	0.00423728813559322	0.00423728813559322	0.0	0.0	0.0	0.01694915254237288	0.0	0.0	0.01016949152542373	0.01694915254237288	0.03389830508474576	0.011016949152542373	0.9025423728813561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-stephensi-indianscaffoldsastei2	0.0	0.0	0.005649717514124294	0.0	0.0	0.0	0.0	0.0	0.0	0.002991026919242274	0.02259887005649717	0.008474576271186442	0.0	0.9602858092389498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-stephensi-sda-500scaffoldsastes1	0.0	0.0	0.02259887005649717	0.0	0.0	0.0	0.0	0.0	0.0	0.019940179461615158	0.005649717514124294	0.008474576271186442	0.0	0.9433366566965771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-gambiae-pestchromosomesagamp4	0.0	0.0	0.0	0.0	0.0	0.014558475112297518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9761673313393154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0092741935483871	0.0	0.0	0.0	0.0	0.0	0.0
AR0073-C	0.0	0.0	0.0	0.0	0.0	0.008253249270571911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9871669020635578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004579848665870171	0.0	0.0	0.0	0.0	0.0	0.0
Acol-570	0.0	0.0	0.0	0.0	0.0	0.0030165912518853697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9859257164404224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011057692307692308	0.0	0.0	0.0	0.0	0.0	0.0
Acol-558	0.0	0.0	0.0	0.0	0.0	0.008822438875438942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9911775611245612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AV0292-C	0.0	0.0	0.0	0.0	0.0	0.0025715204114432656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9927735514363608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004654928152195911	0.0	0.0	0.0	0.0	0.0	0.0
AB0098-Cx	0.0	0.0	0.0	0.0	0.0	0.008388548438941944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.986956523408862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004654928152195911	0.0	0.0	0.0	0.0	0.0	0.0
AG0038-C	0.0	0.0	0.0	0.0	0.0	0.002530044275774826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9928901070583549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004579848665870171	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-coluzzii-mali-nihscaffoldsacolm1	0.0	0.0	0.0	0.0	0.0	0.015298736558685529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97495550072945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00974576271186441	0.0	0.0	0.0	0.0	0.0	0.0
AB0265-C	0.0	0.0	0.0	0.0	0.0	0.002530044275774826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9930004648575328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044694908666925775	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-gambiae-pimperenascaffoldsagams1	0.0	0.0	0.0	0.0	0.0	0.002530044275774826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.988195762175838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009274193548387098	0.0	0.0	0.0	0.0	0.0	0.0
BP0081-C	0.0	0.0	0.0	0.0	0.0	0.002530044275774826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9928901070583549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004579848665870171	0.0	0.0	0.0	0.0	0.0	0.0
Agam-30	0.0	0.0	0.0	0.0	0.0	0.0027045300878972283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9873816768086544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009913793103448277	0.0	0.0	0.0	0.0	0.0	0.0
Agam-32	0.0	0.0	0.0	0.0	0.0	0.0026586905948820204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9875955466932536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009745762711864408	0.0	0.0	0.0	0.0	0.0	0.0
Agam-37	0.0	0.0	0.0	0.0	0.0	0.0027972027972027968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9920400587067254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051627384960718295	0.0	0.0	0.0	0.0	0.0	0.0
