sample_id,location,adm_level,country,country_code,longitude,latitude,collection_context,date_of_collection,collection_method,dna_extraction_method,species,dna_concentration,sex_call,cohort,cohort_colour,coarse_cohort,coarse_cohort_colour,mitochondrial_id,3La,3Ra,3Rb,2Ra,2Rh
VBS24205,Dimabi,"Northern Region, Tolon",Ghana,GHA,-1.083,9.42,Indoor,2017-07-16,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,27.5,F,Ghana_Northern-Region,#2ca02c,,,funestus-lineageI-clusterB,minus,minus,minus,het,het
VBS24209,Dimabi,"Northern Region, Tolon",Ghana,GHA,-1.083,9.42,Outdoor,2017-06-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,3.0,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24210,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Indoor,2017-08-13,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,0.8,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24213,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Indoor,2017-08-13,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,2.4,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24216,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Indoor,2017-08-13,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,2.3,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24218,Dimabi,"Northern Region, Tolon",Ghana,GHA,-1.083,9.42,Outdoor,2017-08-15,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,4.4,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24221,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Indoor,2017-10-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,6.7,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24222,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Indoor,2017-10-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,8.1,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24225,Gupanarigu,"Northern Region, Tolon",Ghana,GHA,-0.952,9.497,Indoor,2017-10-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,6.4,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24226,Gupanarigu,"Northern Region, Tolon",Ghana,GHA,-0.952,9.497,Indoor,2017-10-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,10.1,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24227,Gupanarigu,"Northern Region, Tolon",Ghana,GHA,-0.952,9.497,Indoor,2017-10-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,6.9,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24228,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-10-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,24.2,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24229,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-10-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,11.3,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterA,,,,,
VBS24230,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-10-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,26.8,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24231,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-10-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,10.2,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24232,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-10-07,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,4.8,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24233,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Indoor,2017-07-14,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,1.0,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24234,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-07-14,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,12.4,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24235,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-07-14,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,13.1,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24236,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-07-14,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,5.5,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24238,Gupanarigu,"Northern Region, Tolon",Ghana,GHA,-0.952,9.497,Indoor,2017-07-14,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,23.3,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24239,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-07-14,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,24.3,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24240,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-07-14,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,6.2,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24241,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-07-14,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,6.5,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterA,,,,,
VBS24242,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-07-14,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,9.0,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24243,Woribogu,"Northern Region,",Ghana,GHA,0.321,8.869,Outdoor,2017-07-14,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,27.2,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS17729,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.741,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,het,het
VBS17730,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.799,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,plus,minus
VBS17731,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.667,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,het,het,het
VBS17732,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.614,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,plus,het
VBS17733,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.467,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,plus,minus,het,het
VBS17734,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.354,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,plus,het
VBS17735,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.558,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,het,het,plus
VBS17736,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.638,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,het,plus
VBS17737,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.657,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,minus,plus,minus
VBS17738,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.902,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,het,minus,minus,het,het
VBS17739,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,1.036,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,minus,plus,het
VBS17740,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.655,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,plus,het
VBS17741,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.64,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,het,het,het
VBS17742,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.535,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,het,het,het
VBS17743,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.402,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,het,plus,plus
VBS17744,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.573,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,het,plus,het
VBS17745,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.801,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,het,het,het,het,het
VBS17746,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.828,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,plus,het,het
VBS17747,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.859,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,het,plus,het
VBS17748,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.783,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,het,plus,het
VBS17749,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.538,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,plus,het
VBS17750,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.402,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,het,plus
VBS17751,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.696,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,plus,minus
VBS17752,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,1.05,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,het,plus,minus
VBS17753,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.402,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,minus,plus
VBS17754,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-10-13,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.416,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,het,plus,minus
VBS17755,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.828,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,minus,plus
VBS17756,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.692,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,het,het
VBS17757,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.564,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,plus,het
VBS17758,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.914,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,minus,minus,plus
VBS17759,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.556,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,het,plus,minus
VBS17760,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.776,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,het,plus,plus
VBS17761,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.385,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,het,plus,minus
VBS17762,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.505,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,minus,plus,het
VBS17763,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.846,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,minus,plus,minus
VBS17764,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.826,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,plus,minus
VBS17765,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.719,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,het,plus
VBS17766,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,1.094,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,minus,minus,het,het
VBS17767,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.678,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,minus,het,het
VBS17768,Benguia,"Haut-Ogooue, Mpassa",Gabon,GAB,13.492,-1.633,Outdoor,2017-01-19,Human landing catch,Qiagen DNeasy,Anopheles funestus,0.947,F,Gabon_Haut-Ogooue,#ff7f0e,S_central,#ff7f0e,funestus-lineageI-clusterA,minus,het,minus,het,het
VBS17770,Bangui,"Ombella-M'Poko, Bangui",Central African Republic,CAF,18.608,4.377,Indoor,2016-06-18,Human landing catch,CTAB,Anopheles funestus,0.844,F,CAR_Ombella-M'Poko,#ff9896,EQ_CAR,#ff9896,funestus-lineageI-clusterB,minus,het,minus,plus,plus
VBS17772,Bangui,"Ombella-M'Poko, Bangui",Central African Republic,CAF,18.608,4.377,Indoor,2016-06-19,Human landing catch,CTAB,Anopheles funestus,0.539,F,CAR_Ombella-M'Poko,#ff9896,EQ_CAR,#ff9896,funestus-lineageI-clusterB,minus,het,het,het,plus
VBS17777,Bangui,"Ombella-M'Poko, Bangui",Central African Republic,CAF,18.608,4.377,Outdoor,2016-06-19,Human landing catch,CTAB,Anopheles funestus,0.655,F,CAR_Ombella-M'Poko,#ff9896,EQ_CAR,#ff9896,funestus-lineageI-clusterB,minus,het,het,het,plus
VBS17778,Bangui,"Ombella-M'Poko, Bangui",Central African Republic,CAF,18.608,4.377,Outdoor,2016-06-19,Human landing catch,CTAB,Anopheles funestus,0.575,F,CAR_Ombella-M'Poko,#ff9896,EQ_CAR,#ff9896,funestus-lineageI-clusterB,het,minus,het,plus,het
VBS17780,Bangui,"Ombella-M'Poko, Bangui",Central African Republic,CAF,18.608,4.377,Indoor,2016-06-20,Human landing catch,CTAB,Anopheles funestus,0.493,F,CAR_Ombella-M'Poko,#ff9896,EQ_CAR,#ff9896,funestus-lineageI-clusterB,het,het,het,plus,plus
VBS17784,Bangui,"Ombella-M'Poko, Bangui",Central African Republic,CAF,18.608,4.377,Indoor,2016-09-05,Human landing catch,CTAB,Anopheles funestus,0.948,F,CAR_Ombella-M'Poko,#ff9896,EQ_CAR,#ff9896,funestus-lineageI-clusterB,minus,plus,het,plus,het
VBS17785,Bangui,"Ombella-M'Poko, Bangui",Central African Republic,CAF,18.608,4.377,Indoor,2016-09-06,Human landing catch,CTAB,Anopheles funestus,0.639,F,CAR_Ombella-M'Poko,#ff9896,EQ_CAR,#ff9896,funestus-lineageI-clusterB,minus,minus,minus,plus,plus
VBS17786,Bangui,"Ombella-M'Poko, Bangui",Central African Republic,CAF,18.608,4.377,Outdoor,2016-09-06,Human landing catch,CTAB,Anopheles funestus,0.589,F,CAR_Ombella-M'Poko,#ff9896,EQ_CAR,#ff9896,funestus-lineageI-clusterB,minus,het,minus,het,plus
VBS17798,Bangui,"Ombella-M'Poko, Bangui",Central African Republic,CAF,18.608,4.377,Indoor,2016-10-24,Human landing catch,CTAB,Anopheles funestus,0.884,F,CAR_Ombella-M'Poko,#ff9896,EQ_CAR,#ff9896,funestus-lineageI-clusterB,het,minus,minus,plus,plus
VBS17801,Bangui,"Ombella-M'Poko, Bangui",Central African Republic,CAF,18.608,4.377,Indoor,2016-11-07,Human landing catch,CTAB,Anopheles funestus,0.495,F,CAR_Ombella-M'Poko,#ff9896,EQ_CAR,#ff9896,funestus-lineageI-clusterB,het,het,het,plus,het
VBS17190,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.208,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,het,het
VBS17191,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.291,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,het
VBS17192,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.193,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,het,minusplus,het
VBS17193,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.476,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,het
VBS17195,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.658,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,het
VBS17196,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,1.941,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,plus
